essay,axis,subtype,span,ru_fix
confusion-matrix,A,replace,Точность среди пойманных — какая часть сигналов настоящая (precision).,Точность среди пойманных — какая часть сигналов настоящая (точность).
good-decisions,A,replace,В покере это называется resulting1 — ошибка оценивать качество решения по качеству исхода.,В покере это называется итоговый1 — ошибка оценивать качество решения по качеству исхода.
nudge,A,replace,default effect,значение по умолчанию effect
poker-distance,A,replace,"Энни Дьюк назвала ошибку смешивать одно с другим «resulting»1 — и отучиться от неё труднее всего, потому что мир вознаграждает за результат, а не за качество решения.","Энни Дьюк назвала ошибку смешивать одно с другим «итоговый»1 — и отучиться от неё труднее всего, потому что мир вознаграждает за результат, а не за качество решения."
pseudorandom,A,replace,"x0 — seed, начальное значение.","x0 — зерно, начальное значение."
simulation,A,replace,"Сказать «модель дура, Испания вылетела» — это resulting: оценка по единственному исходу того, что было про распределение.","Сказать «модель дура, Испания вылетела» — это итоговый: оценка по единственному исходу того, что было про распределение."
skin-in-the-game,A,replace,"Skin in the game — шкура на кону — это симметрия: тот, кто получает выгоду от решения, должен нести и его убыток.","Skin in the игра — шкура на кону — это симметрия: тот, кто получает выгоду от решения, должен нести и его убыток."
xg,A,replace,"Это resulting наоборот: вместо «оценим решение по тому, чем оно кончилось» — «оценим по качеству самого момента».","Это итоговый наоборот: вместо «оценим решение по тому, чем оно кончилось» — «оценим по качеству самого момента»."
zfc-independence,B,canc,Она не истинна и не ложна в рамках стандартной математики.,Она не истинна и не ложна в стандартной математики.
