essay,category,span,fix
bookshelf,word,"А сам Фихтенгольц вдобавок стоял у истоков математических олимпиад, то есть заглядывал и в соседнюю, популяризаторскую ветку.","А сам Фихтенгольц вдобавок стоял у истоков математических олимпиад, заглядывал и в соседнюю, популяризаторскую ветку."
euler-formula,word,"eiπ — поворот на π радиан, то есть на полу-оборот.","eiπ — поворот на π радиан, на полу-оборот."
infinity-types,word,То есть — равномощны ли ℚ и ℕ?,равномощны ли ℚ и ℕ?
millennium-problems,word,"То есть дал больше, чем просили.","дал больше, чем просили."
rsa-primes,word,Именно поэтому P vs NP — не абстрактный вопрос.,P vs NP — не абстрактный вопрос.
rsa-primes,word,"Алгоритм Шора, опубликованный Питером Шором в 1994 году, решает задачу факторизации на квантовом компьютере за O((log n)³) — то есть быстро2.","Алгоритм Шора, опубликованный Питером Шором в 1994 году, решает задачу факторизации на квантовом компьютере за O((log n)³) — быстро2."
underdogs,word,"Именно поэтому последний тур в каждой группе теперь играют одновременно — после «позора Хихона» 1982 года, когда ФРГ и Австрия молчаливым сговором устроили нужный обоим счёт4.","последний тур в каждой группе теперь играют одновременно — после «позора Хихона» 1982 года, когда ФРГ и Австрия молчаливым сговором устроили нужный обоим счёт4."
xg,word,"То есть xG — буквально математическое ожидание, перенесённое на газон: среднее по многим повторениям одного момента.","xG — буквально математическое ожидание, перенесённое на газон: среднее по многим повторениям одного момента."
